,figures,specialist_0,specialist_1,specialist_2,std_0,std_1,std_2,warn_0,warn_1,warn_2,Std Deviation,Mean,ShouldBeUsed?,,U_0_1,Var_0_1,Dev_0_1,,U_01_2,Var_01_2,Dev_01_2,,U_1_2,Var_1_2,Dev_1_2,,U_12_0,Var_12_0,Dev_12_0
25,conf_067,-81.15,-81.15,-81.38,0.9,0.84,0.78,None,None,None,0.108,-81.227,,,-81.150,0.377,0.614,,-81.238,0.233,0.482,,-81.274,0.327,0.572,,-81.238,0.233,0.482
26,conf_068,83.03,83.94,83.55,0.58,0.58,0.65,None,None,None,0.373,83.507,,,83.485,0.168,0.410,,83.504,0.120,0.347,,83.767,0.187,0.433,,83.504,0.120,0.347
27,conf_069,-82.91,-82.58,-82.12,0.7,0.64,0.7,None,None,None,0.324,-82.537,,,-82.730,0.223,0.472,,-82.539,0.153,0.392,,-82.371,0.223,0.472,,-82.539,0.153,0.392
28,conf_070,-81.8,-81.76,-82.26,1.78,0.37,0.63,None,None,None,0.227,-81.94,,,-81.762,0.131,0.362,,-81.885,0.099,0.314,,-81.888,0.102,0.319,,-81.885,0.099,0.314
29,conf_071,-3.06,-3.42,-1.9,1.71,0.76,1.7,None,None,None,0.649,-2.793,,,-3.361,0.482,0.694,,-3.152,0.413,0.643,,-3.167,0.481,0.694,,-3.152,0.413,0.643
30,conf_072,-1.64,-5.32,-0.81,1.03,0.42,0.33,None,None,None,1.96,-2.59,,,-4.795,0.151,0.389,,-2.478,0.063,0.252,,-2.531,0.067,0.259,,-2.478,0.063,0.252
31,conf_073,-1.63,-4.32,-1.12,0.6,1.33,0.83,None,None,None,1.404,-2.357,,,-2.085,0.299,0.547,,-1.793,0.209,0.457,,-2.017,0.496,0.704,,-1.793,0.209,0.457
32,conf_074,-9.89,-12.39,-10.92,0.8,2.69,0.54,None,yes,None,1.026,-11.067,no,,-10.093,0.588,0.767,,-10.646,0.195,0.442,,-10.977,0.280,0.529,,-10.646,0.195,0.442
33,conf_075,87.45,86.03,88.52,1.87,0.89,0.97,None,None,None,1.02,87.333,,,86.292,0.646,0.804,,87.199,0.383,0.619,,87.168,0.430,0.656,,87.199,0.383,0.619
34,conf_081,19.91,19.51,18.18,0.94,1.21,1.24,None,None,None,0.74,19.2,,,19.759,0.551,0.742,,19.343,0.406,0.637,,18.861,0.750,0.866,,19.343,0.406,0.637
35,conf_082,45.31,44.77,45.01,0.61,0.87,0.98,None,None,None,0.221,45.03,,,45.132,0.249,0.499,,45.107,0.198,0.445,,44.876,0.423,0.651,,45.107,0.198,0.445
36,conf_083,-7.68,-8.38,-8.07,1.02,0.85,0.88,None,None,None,0.286,-8.043,,,-8.093,0.426,0.653,,-8.085,0.275,0.524,,-8.230,0.374,0.611,,-8.085,0.275,0.524
37,conf_084,21.15,20.79,21.13,0.73,0.82,0.72,None,None,None,0.165,21.023,,,20.991,0.297,0.545,,21.042,0.189,0.435,,20.982,0.293,0.541,,21.042,0.189,0.435
38,conf_085,43.89,43.54,44.99,0.51,1.45,1.26,None,None,None,0.618,44.14,,,43.851,0.231,0.481,,43.996,0.202,0.449,,44.366,0.905,0.951,,43.996,0.202,0.449
39,conf_086,20.13,19.89,19.96,0.96,0.62,0.7,None,None,None,0.101,19.993,,,19.961,0.271,0.521,,19.960,0.175,0.418,,19.921,0.215,0.464,,19.960,0.175,0.418
